'Car brand','Fuel Type','Aspiration type','Number of doors','Car body type','Drive wheel','Engine location','Distance between the wheels on the side of the car (in inches)','Length of the car (in inches)','Width of the car (in inches)','Height of the car (in inches)','Weight of the car (in pounds)','Engine type','Cylinder number','Engine size (swept volume of all the pistons inside the cylinders)','Fuel system','Bore ratio (ratio between cylinder bore diameter and piston stroke)','Horse power of the car','Mileage in city','Mileage on highway','output','flag','username','timestamp'
'Alfa-Romero','Diesel','Turbo','Two','convertible','4 wheel drive','Front',179,125,158,89,1580,'dohc',4,101,'mfi',2.76,202,24,13,'The price of the car 11951.82$','','','2022-07-04 13:58:59.905849'
'Alfa-Romero','Diesel','Turbo','Two','convertible','4 wheel drive','Front',179,125,158,89,1580,'dohc',4,101,'mfi',2.76,202,24,13,'The price of the car 11951.82$','','','2022-07-04 13:59:03.836651'
'Alfa-Romero','Diesel','Turbo','Two','convertible','4 wheel drive','Front',179,125,158,89,1580,'dohc',4,101,'mfi',2.76,202,24,13,'The price of the car 11951.82$','','','2022-07-04 13:59:03.996856'
'Alfa-Romero','Diesel','Turbo','Two','convertible','4 wheel drive','Front',179,125,158,89,1580,'dohc',4,101,'mfi',2.76,202,24,13,'The price of the car 11951.82$','','','2022-07-04 13:59:04.263073'
'Alfa-Romero','Diesel','Turbo','Two','convertible','4 wheel drive','Front',179,125,158,89,1580,'dohc',4,101,'mfi',2.76,202,24,13,'The price of the car 11951.82$','','','2022-07-04 13:59:04.421544'
'Alfa-Romero','Diesel','Turbo','Two','convertible','4 wheel drive','Front',179,125,158,89,1580,'dohc',4,101,'mfi',2.76,202,24,13,'The price of the car 11951.82$','','','2022-07-04 13:59:04.560053'
'Alfa-Romero','Diesel','Turbo','Two','convertible','4 wheel drive','Front',179,125,158,89,1580,'dohc',4,101,'mfi',2.76,202,24,13,'The price of the car 11951.82$','','','2022-07-04 13:59:04.715732'
'Alfa-Romero','Diesel','Turbo','Two','convertible','4 wheel drive','Front',179,125,158,89,1580,'dohc',4,101,'mfi',2.76,202,24,13,'The price of the car 11951.82$','','','2022-07-04 13:59:04.870666'
'Alfa-Romero','Diesel','Turbo','Two','convertible','4 wheel drive','Front',179,125,158,89,1580,'dohc',4,101,'mfi',2.76,202,24,13,'The price of the car 11951.82$','','','2022-07-04 13:59:05.029288'
'Alfa-Romero','Diesel','Turbo','Two','convertible','4 wheel drive','Front',179,125,158,89,1580,'dohc',4,101,'mfi',2.76,202,24,13,'The price of the car 11951.82$','','','2022-07-04 13:59:05.168457'
